"filename", "language", "Markdown", "Makefile", "C++", "HTML", "Shell Script", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getNumber_8cpp.html", "HTML", 0, 0, 0, 147, 0, 0, 0, 0, 5, 7, 159
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getNumber_8h.html", "HTML", 0, 0, 0, 127, 0, 0, 0, 0, 5, 5, 137
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/getNumber_8h_source.html", "HTML", 0, 0, 0, 90, 0, 0, 0, 0, 5, 3, 98
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 5, 4, 88
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_b.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 5, 4, 87
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_c.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 0, 5, 4, 130
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_d.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 5, 4, 87
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_defs.html", "HTML", 0, 0, 0, 94, 0, 0, 0, 0, 5, 3, 102
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_e.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 5, 4, 87
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_enum.html", "HTML", 0, 0, 0, 81, 0, 0, 0, 0, 5, 3, 89
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_eval.html", "HTML", 0, 0, 0, 172, 0, 0, 0, 0, 5, 24, 201
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_f.html", "HTML", 0, 0, 0, 76, 0, 0, 0, 0, 5, 4, 85
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_func.html", "HTML", 0, 0, 0, 194, 0, 0, 0, 0, 5, 30, 229
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_g.html", "HTML", 0, 0, 0, 106, 0, 0, 0, 0, 5, 4, 115
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_i.html", "HTML", 0, 0, 0, 80, 0, 0, 0, 0, 5, 4, 89
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_l.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 4, 84
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_m.html", "HTML", 0, 0, 0, 84, 0, 0, 0, 0, 5, 4, 93
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_n.html", "HTML", 0, 0, 0, 119, 0, 0, 0, 0, 5, 4, 128
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_o.html", "HTML", 0, 0, 0, 78, 0, 0, 0, 0, 5, 4, 87
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_p.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 5, 4, 94
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_r.html", "HTML", 0, 0, 0, 81, 0, 0, 0, 0, 5, 4, 90
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_s.html", "HTML", 0, 0, 0, 91, 0, 0, 0, 0, 5, 4, 100
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_t.html", "HTML", 0, 0, 0, 75, 0, 0, 0, 0, 5, 4, 84
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_type.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 5, 3, 82
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_vars.html", "HTML", 0, 0, 0, 89, 0, 0, 0, 0, 5, 3, 97
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_w.html", "HTML", 0, 0, 0, 89, 0, 0, 0, 0, 5, 4, 98
"/home/matvey/Рабочий стол/C/myProgLanguage/doc/html/globals_y.html", "HTML", 0, 0, 0, 76, 0, 0, 0, 0, 5, 4, 85
