Date : 2024-12-17 22:04:07
Directory : /home/matvey/Рабочий стол/C/myProgLanguage
Total : 379 files,  32093 codes, 1305 comments, 2683 blanks, all 36081 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/predprocessing_8h.html                                 | HTML         |        130 |          5 |          5 |        140 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/predprocessing_8h_source.html                          | HTML         |         94 |          5 |          3 |        102 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/putDataToFile_8cpp.html                                | HTML         |        215 |          5 |          9 |        229 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/putDataToFile_8h.html                                  | HTML         |        195 |          5 |          7 |        207 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/putDataToFile_8h_source.html                           | HTML         |        101 |          5 |          3 |        109 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/readFile_8cpp.html                                     | HTML         |        163 |          5 |          6 |        174 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/refactorToTokens_8cpp.html                             | HTML         |        346 |          5 |         12 |        363 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/refactorToTokens_8h.html                               | HTML         |        156 |          5 |          5 |        166 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/refactorToTokens_8h_source.html                        | HTML         |         94 |          5 |          3 |        102 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/runCode_8cpp.html                                      | HTML         |        334 |          5 |         18 |        357 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/runCode_8h.html                                        | HTML         |        156 |          5 |          5 |        166 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/runCode_8h_source.html                                 | HTML         |        103 |          5 |          3 |        111 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_0.js                                        | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_1.js                                        | JavaScript   |          7 |          0 |          1 |          8 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_10.js                                       | JavaScript   |          6 |          0 |          1 |          7 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_11.js                                       | JavaScript   |         23 |          0 |          1 |         24 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_12.js                                       | JavaScript   |          5 |          0 |          1 |          6 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_13.js                                       | JavaScript   |          4 |          0 |          1 |          5 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_2.js                                        | JavaScript   |         66 |          0 |          1 |         67 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_3.js                                        | JavaScript   |         11 |          0 |          1 |         12 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_4.js                                        | JavaScript   |          9 |          0 |          1 |         10 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_5.js                                        | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_6.js                                        | JavaScript   |         43 |          0 |          1 |         44 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_7.js                                        | JavaScript   |         13 |          0 |          1 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_8.js                                        | JavaScript   |         13 |          0 |          1 |         14 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_9.js                                        | JavaScript   |         16 |          0 |          1 |         17 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_a.js                                        | JavaScript   |         55 |          0 |          1 |         56 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_b.js                                        | JavaScript   |          8 |          0 |          1 |          9 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_c.js                                        | JavaScript   |         19 |          0 |          1 |         20 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_d.js                                        | JavaScript   |         23 |          0 |          1 |         24 |
| /home/matvey/Рабочий стол/C/myProgLanguage/doc/html/search/all_e.js                                        | JavaScript   |         43 |          0 |          1 |         44 |
